id,user_id,date,start,end,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
3,ed7caed3644e3c7fbf633785ca3bba81,2008-07-11,2008-07-11 21:44:13,2008-07-11 21:46:34,2,4,3,5,2,1,4,1,0,1,2,2,6,1,4,3,1,0,4,4,2
4,87f5725ed81f54b4474434b30228df5e,2008-07-12,2008-07-12 07:43:36,2008-07-12 07:47:54,6,6,6,3,6,6,6,0,0,0,0,0,0,3,4,4,5,5,4,6,0
5,54b7297e5c348bccd9c1207adb702e66,2008-07-12,2008-07-12 09:29:06,2008-07-12 09:30:17,6,6,4,6,6,6,6,2,6,4,3,6,6,6,6,6,6,2,4,4,6
6,931a6110b57588b83394fbc4b77295fd,2008-07-12,2008-07-12 17:07:01,2008-07-12 17:08:53,2,4,0,4,0,0,0,6,0,0,6,4,4,6,4,5,5,1,6,4,2
7,0e2fa48a49b80ec857141deb8e0ba9e6,2008-07-12,2008-07-12 22:16:08,2008-07-12 22:17:52,4,5,5,4,5,1,5,3,0,1,5,2,0,0,5,5,3,4,4,2,6
8,7ace5df832ec00ced7644db3b6c95acc,2008-07-13,2008-07-13 00:07:06,2008-07-13 00:09:07,2,5,2,6,3,2,3,5,2,1,6,3,1,3,5,6,6,6,6,6,2
9,6777e6a6daaea00e940045ae7d393393,2008-07-13,2008-07-13 00:08:19,2008-07-13 00:10:05,3,6,3,5,6,3,5,2,0,0,5,2,5,3,6,2,3,2,5,3,6
10,b624eb5ac7b53c4814fe9685d04768eb,2008-07-13,2008-07-13 01:04:18,2008-07-13 01:06:10,2,6,4,6,0,5,3,5,1,1,0,3,3,6,6,4,6,5,6,5,6
11,80cff773a96ecfbdda67cbb608de1ca7,2008-07-13,2008-07-13 04:28:29,2008-07-13 04:30:00,6,6,6,6,6,6,6,5,1,6,6,6,6,6,6,2,3,6,6,6,6
12,b9cf642fbe1cff8439cea3890a9fc799,2008-07-13,2008-07-13 04:36:11,2008-07-13 04:38:50,6,6,4,6,6,6,6,5,4,4,6,6,6,6,6,3,5,6,4,0,0
13,5a775c3e3dad33a9d3a9509f5594d0eb,2008-07-13,2008-07-13 08:07:09,2008-07-13 08:10:08,4,6,3,6,5,6,6,2,0,1,6,6,6,0,5,5,3,3,3,1,1
14,336d1afb469aa52730de8f5aaee0e547,2008-07-13,2008-07-13 09:29:55,2008-07-13 09:32:04,2,6,0,5,2,0,2,2,3,0,3,5,6,5,1,6,1,6,1,6,3
15,5a25898fe77695175300bf2b7a2370c7,2008-07-13,2008-07-13 19:13:28,2008-07-13 19:16:18,4,5,6,4,4,4,4,5,4,3,5,6,4,4,5,6,5,4,5,4,5
16,592f4b6872c7db8eec2f1c8a77d96864,2008-07-14,2008-07-14 03:37:01,2008-07-14 03:38:46,5,6,6,5,6,5,5,1,0,2,1,5,5,3,6,1,4,3,,6,6
17,228de1c51ec1d2ec5ffd8022d6cdd888,2008-07-14,2008-07-14 10:59:08,2008-07-14 11:00:29,6,6,6,6,5,4,6,1,0,6,1,6,4,0,6,6,3,6,6,6,0
18,173a62e490dd14387d8e0fe379526af8,2008-07-14,2008-07-14 11:12:18,2008-07-14 11:14:22,2,5,0,3,5,0,4,2,6,1,5,5,6,6,6,6,6,6,6,6,6
