var,description
id,Disgust questionnaire ID
user_id,Participant ID
date,Date of Completion
start,Timestamp of starting the questionnaire
end,Timestamp of submitting the questionnaire
moral1,Shoplifting a candy bar from a convenience store
moral2,Stealing from a neighbor
moral3,A student cheating to get good grades
moral4,Deceiving a friend
moral5,Forging someone's signature on a legal document
moral6,Cutting to the front of a line to purchase the last few tickets to a show
moral7,Intentionally lying during a business transaction
sexual1,Hearing two strangers having sex
sexual2,Performing oral sex
sexual3,Watching a pornographic video
sexual4,Finding out that someone you don't like has sexual fantasies about you
sexual5,Bringing someone you just met back to your room to have sex
sexual6,A stranger of the opposite sex intentionally rubbing your thigh in an elevator
sexual7,Having anal sex with someone of the opposite sex
pathogen1,Stepping on dog poop
pathogen2,Sitting next to someone who has red sores on their arm
pathogen3,Shaking hands with a stranger who has sweaty palms
pathogen4,Seeing some mold on old leftovers in your refrigerator
pathogen5,Standing close to a person who has body odor
pathogen6,Seeing a cockroach run across the floor
pathogen7,Accidentally touching a person's bloody cut
