id,user_id,date,start,end,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10
1382,f8cf669ae37b385e43f3c1d4e312cf4d,2014-01-20,2014-01-20 13:54:10,2014-01-20 13:55:32,-18,-16,-15,-16,-16,-19,-17,-17,-18,-18,-17,-17,-16,-19,-19,-17,-19,-18,-17,-16,-17,-16,-17,-16,-19,-17,-17,-17,-16,-18
825,8439b29d2770100e79c63f28c73f687a,2013-10-02,2013-10-02 12:09:05,2013-10-02 12:11:30,13,20,25,13,29,23,24,16,19,20,-8,-10,-8,-12,-8,-15,-12,-12,-4,-11,-8,-13,-12,-11,-11,-14,-13,-13,-11,0
325,2e77b5fc1d2b475ee54e459d6e2e0606,2012-12-06,2012-12-06 11:27:57,2012-12-06 11:29:30,-16,-16,-13,-17,-15,-16,-14,-16,-15,-17,-14,-14,-13,-13,-12,-7,-16,-15,-16,-9,-13,-14,-15,-13,-15,-17,-17,-14,-7,-15
82,78d59f9a6ad83015debff51e31aa9f65,2012-10-25,2012-10-25 17:09:49,2012-10-25 17:12:49,37,45,22,86,60,10,24,26,46,35,-15,-11,-7,-13,-8,-14,-14,-5,8,-4,4,2,5,-6,17,7,3,-9,17,-5
6,3140d46160c3018d758afbf3783e0128,2012-10-15,2012-10-15 12:03:06,2012-10-15 12:04:53,-15,-11,-15,-14,-15,-14,-12,-14,-14,-13,-2,0,-14,-13,-10,-13,-8,-7,-5,-13,-11,-3,-11,-8,-10,-12,-13,-12,-13,-14
8,177d888c4289f1ac5fd256bb3583c606,2012-10-15,2012-10-15 12:21:32,2012-10-15 12:23:15,-14,-12,-14,-11,-10,-11,-12,-12,-12,-11,-12,-12,-8,-13,-12,-13,-14,-11,-13,-11,-11,-12,-11,-13,-11,-14,-12,-10,-12,-14
7,f05d63190585651a271a35067d6a6599,2012-10-15,2012-10-15 12:14:17,2012-10-15 12:16:25,0,-17,0,0,-14,-15,0,-16,-13,0,-11,0,0,-14,0,-13,-13,-15,-10,-11,-12,0,0,-13,-14,0,-12,-15,-14,-10
9,296a71f34cd48d3dc7cbe470fd62f5e0,2012-10-15,2012-10-15 14:35:06,2012-10-15 14:37:56,9,0,0,0,9,0,5,0,0,0,-15,-16,-15,-15,-14,-14,-14,-15,-10,-13,-8,-9,-9,-1,-11,0,0,0,0,0
11,51efec94cb26f497f0d472b9c7ea503a,2012-10-15,2012-10-15 14:44:01,2012-10-15 14:48:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ad60c8d08eae0a07f932723f157070ce,2012-10-15,2012-10-15 14:44:53,2012-10-15 14:47:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,60d03bfe33ba2c76adc147e24fef9c78,2012-10-15,2012-10-15 16:44:49,2012-10-15 16:46:54,6,29,0,1,0,0,-16,-15,-4,47,-16,-11,-9,-17,-16,-17,-17,-16,-12,-15,-13,-15,0,-6,-16,-6,-14,-8,-7,-7
12,5104e2d50d5cd112697a6a7aa3a719b9,2012-10-15,2012-10-15 16:43:34,2012-10-15 16:46:34,54,-10,57,55,47,61,58,74,-10,50,-13,-11,-9,-14,-14,-13,-10,-12,-13,-13,15,41,-13,-14,27,-12,-13,-10,-14,-14
14,ca57c148b877d4592865e6cfe719b534,2012-10-16,2012-10-16 11:49:05,2012-10-16 11:52:25,107,0,-17,154,-16,0,121,-17,235,0,-17,-17,-16,-17,0,-17,-17,-14,61,-5,-16,-17,-12,0,90,0,0,0,-18,0
15,89d3ca9ae09abcd2c79c63b02276c7cd,2012-10-16,2012-10-16 11:51:07,2012-10-16 11:52:42,-14,-13,-13,-13,-14,-14,-12,-14,-11,-12,-14,-13,-12,-13,-13,-13,-14,-13,-14,-15,-13,-13,-12,-14,-13,-14,-13,-12,-13,-12
16,e76aa878f0c82dce1ccb1cc167628334,2012-10-16,2012-10-16 12:00:26,2012-10-16 12:02:08,-14,-13,0,-14,-14,-14,-13,-14,-14,-9,-12,-14,-12,-14,-12,-12,-13,-13,-12,-14,-13,-12,-13,-13,-12,-14,-12,-12,-12,-13
17,afc8086147797fb3639fb9e1cd0fd943,2012-10-16,2012-10-16 14:01:50,2012-10-16 14:04:00,-4,0,0,-8,5,7,-6,-2,0,6,-8,-3,-11,-11,-4,-11,-2,-2,-6,-10,-8,-7,-9,-5,-9,-5,-5,-8,-4,-3
19,21a3e78f4b2339da2c975762bdb5cee3,2012-10-16,2012-10-16 14:34:00,2012-10-16 14:35:50,-1,0,0,0,17,6,0,0,0,0,-13,-13,-12,-15,-16,-13,-15,-14,-13,-15,-13,-18,-15,-15,-13,-18,-16,-15,-16,-14
18,8c3162f01cf9ce284e1913b9f3ed5e65,2012-10-16,2012-10-16 14:27:35,2012-10-16 14:29:53,5,6,0,0,7,20,13,22,17,5,-9,-8,-7,-14,-11,-15,-15,-10,0,0,-4,-9,-6,-5,-2,-10,-6,-8,-6,-12
