id,user_id,date,start,end,sss1,sss2,sss3,sss4,sss5,sss6,sss7,sss8,sss9,sss10,sss11,sss12,sss13,sss14
21873,0000c4f86d8922b385676763d269c4fb,2008-03-25,2008-03-25 13:12:21,2008-03-25 13:13:37,0,1,0,0,1,0,0,1,0,0,1,0,0,0
26052,0002bd5ca7b334d72a38715941ef95ec,2010-01-23,2010-01-23 22:46:35,2010-01-23 22:48:15,0,1,1,1,1,1,1,1,0,0,1,1,1,0
26467,00038e7335e0c3ee4e54d0198317ebd1,2010-04-15,2010-04-15 07:08:40,2010-04-15 07:10:27,1,1,1,0,1,1,1,1,0,1,0,0,1,1
13101,00046d1270de846ecfe67ba84a24e014,2007-03-04,2007-03-04 15:24:06,2007-03-04 15:26:31,0,0,,1,1,0,1,1,1,0,1,0,1,
433,000545866deca71f3edda1d7944e8001,2005-04-11,2005-04-11 04:14:36,2005-04-11 04:15:38,0,1,0,0,0,0,1,0,0,0,0,1,1,0
5560,0007981e257e0acdf4c99a09a9e332c2,2006-10-22,2006-10-22 23:09:08,2006-10-22 23:12:17,1,0,0,1,1,0,1,0,1,0,0,1,1,0
24166,0010690959c028d02603d6aaf4513c01,2009-01-10,2009-01-10 00:10:29,2009-01-10 00:11:57,1,1,1,1,1,1,1,1,1,0,1,1,1,0
8020,0012a68a093172d65823d4bd7e2320b4,2007-01-14,2007-01-14 02:51:37,2007-01-14 02:54:23,1,0,0,0,0,0,0,1,0,0,1,0,1,1
23187,0014d91705ab44b976779cf8387e4bbb,2008-09-02,2008-09-02 20:12:58,2008-09-02 20:14:13,1,0,0,0,1,1,0,1,1,1,0,0,,0
18444,0018b77346ec979a2c11d1f88531288a,2007-08-21,2007-08-21 07:04:00,2007-08-21 07:05:33,0,0,0,1,1,1,1,1,1,0,0,1,1,1
10235,00194a3557c1f34805b12acf3cc3c5b8,2007-01-25,2007-01-25 21:41:50,2007-01-25 21:42:43,1,1,1,0,0,1,1,0,0,0,0,1,1,1
1049,001a17c5e57b2e5db2d5c2aefb7077c8,2005-09-09,2005-09-09 01:32:42,2005-09-09 01:34:55,1,1,0,1,0,1,1,1,1,1,0,1,1,1
14539,001a8bcd052675389f69ae129415b892,2007-04-13,2007-04-13 00:43:40,2007-04-13 00:45:14,1,1,0,0,1,0,1,1,0,1,1,1,1,1
15792,001cc31b5ab0af415acf83109fb68999,2007-05-12,2007-05-12 07:06:00,2007-05-12 07:07:58,1,0,0,0,1,1,1,0,0,0,0,1,1,1
14658,001ec51c4b34433626935b38c80a6373,2007-04-15,2007-04-15 17:39:27,2007-04-15 17:41:26,1,0,1,0,0,1,1,0,0,0,1,1,0,0
9929,001fe33dd28cf16115e3e5d77908be43,2007-01-25,2007-01-25 03:56:18,2007-01-25 03:57:10,0,1,0,0,1,1,1,1,1,0,1,1,1,1
14295,0020eee0443f1bcd6cf454cfaa671bff,2007-04-09,2007-04-09 13:44:47,2007-04-09 13:47:46,0,1,0,0,1,1,0,1,0,0,1,0,1,1
5594,002260db48868275367cd2efa20531b2,2006-10-24,2006-10-24 08:37:29,2006-10-24 08:39:17,1,1,1,0,0,0,1,1,1,0,0,0,1,0
15113,0023a9a58f2e5e6f97fae44bdb6ac434,2007-04-24,2007-04-24 02:36:59,2007-04-24 02:39:01,1,1,0,0,1,0,1,1,1,1,1,0,1,1
6614,0023b9311ecff82990f1e685a1aff347,2006-12-10,2006-12-10 23:09:18,2006-12-10 23:11:15,0,1,0,1,0,1,0,0,1,0,1,1,1,0
23290,00256a82206a79f36f7f9eae0b1eb11e,2008-09-19,2008-09-19 00:21:08,2008-09-19 00:23:24,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18874,00301318e7479f57695c6fbd89468de4,2007-09-15,2007-09-15 03:16:46,2007-09-15 03:18:27,1,1,0,0,1,1,1,0,1,0,0,1,1,1
25043,0031827af9f03216b6ff8cad94fefbe1,2009-06-12,2009-06-12 17:31:52,2009-06-12 17:50:32,0,1,1,0,1,1,1,1,1,0,1,0,0,1
24214,0035f14b43983b57305d0c30bb28ec4e,2009-01-21,2009-01-21 04:20:19,2009-01-21 04:21:21,1,1,0,0,1,0,1,0,0,1,1,1,0,0
7741,0039faacf2956f3f21ba17435dc9dcfc,2007-01-07,2007-01-07 03:02:52,2007-01-07 03:04:54,0,0,0,1,1,0,0,1,1,0,1,0,1,0
12400,003a85ad9c59ed6189250c23a1470e5e,2007-02-14,2007-02-14 05:59:48,2007-02-14 06:00:56,1,0,0,0,1,1,1,1,0,0,0,0,1,0
30243,003c909600ae767b99208f7d37ad84ac,2015-10-13,2015-10-13 22:25:37,2015-10-13 22:26:37,1,0,1,1,1,1,1,1,1,1,1,1,1,0
24760,003d296c7b40ae96e9bc4ae46bc964ea,2009-05-04,2009-05-04 07:46:45,2009-05-04 07:47:49,1,0,0,0,1,1,1,1,1,1,0,0,1,0
9836,003e6eec0d787ebf5f2ad07d95912a53,2007-01-25,2007-01-25 01:14:17,2007-01-25 01:15:54,0,1,0,1,0,0,0,1,0,0,0,0,1,0
21486,003e9aacd0a1f4e1a45701bc3d3fff19,2008-02-18,2008-02-18 15:44:23,2008-02-18 15:45:54,0,1,1,0,1,1,1,0,1,0,0,0,1,0
10906,0042323a1909f777774d194afc63b42f,2007-01-27,2007-01-27 20:05:39,2007-01-27 20:05:45,,,,,,,,,,,,,,
7980,0044052462229818f6bf1568ff4fe35e,2007-01-12,2007-01-12 21:07:53,2007-01-12 21:09:35,1,1,0,0,1,0,1,1,1,0,1,0,1,1
11072,0048026667b6c4e31e30809dba9d0096,2007-01-28,2007-01-28 16:11:48,2007-01-28 16:14:36,0,0,0,0,1,0,0,0,1,1,0,0,1,0
14703,00493fdfaad2317ea52ec9c0ec53d0bc,2007-04-16,2007-04-16 12:16:04,2007-04-16 12:17:37,1,0,0,0,1,1,1,1,0,0,0,1,1,0
18449,004acf4f9bc13c42139cfd01c3a5d292,2007-08-21,2007-08-21 10:46:26,2007-08-21 10:48:33,1,1,0,0,1,1,0,1,1,1,0,1,1,0
11976,004faecdb3176ada8ea72da5606442d8,2007-02-05,2007-02-05 23:08:15,2007-02-05 23:09:31,0,0,0,0,1,1,0,1,0,0,0,0,1,0
24629,0052b1a1da9a730da6daf8b855cd8847,2009-04-14,2009-04-14 03:53:19,2009-04-14 03:54:51,1,1,1,0,0,1,0,0,0,0,1,0,0,0
5016,005837342df3516941037271f35721a0,2006-10-10,2006-10-10 07:14:01,2006-10-10 07:15:26,0,0,0,0,1,0,0,1,0,1,0,0,1,0
8057,005baca975b21a31578519728212631a,2007-01-14,2007-01-14 20:39:43,2007-01-14 20:39:50,,,,,,,,,,,,,,
29717,005da5be064d956ca510e9c7996330d7,2014-06-24,2014-06-24 09:25:51,2014-06-24 09:27:36,1,0,0,0,1,1,1,1,0,1,1,0,1,0
29535,005e1d01f1a79ab36ece791bf11bde51,2013-12-27,2013-12-27 01:45:50,2013-12-27 01:47:34,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27906,005ebc0cb7bf888215d966a7ed51477f,2011-09-12,2011-09-12 21:26:15,2011-09-12 21:27:20,1,1,0,0,1,1,0,1,0,0,0,1,0,0
8087,006105947e6fdebd6a10d4802585fd0e,2007-01-15,2007-01-15 02:18:25,2007-01-15 02:20:26,0,0,0,1,0,1,0,0,0,0,0,0,1,1
5065,0061e901d15b5707482356e0f9cfefeb,2006-10-10,2006-10-10 12:38:48,2006-10-10 12:39:52,1,1,1,1,1,1,1,1,0,1,1,1,1,1
3224,0062e7177ea717e803bb99eb8c40c2ca,2006-05-15,2006-05-15 04:03:40,2006-05-15 04:04:52,1,1,1,1,1,0,1,1,1,1,1,0,1,1
15063,0062f37bf9abd32e68b7aafd69d50460,2007-04-23,2007-04-23 10:57:51,2007-04-23 10:59:17,1,0,1,1,1,1,1,0,0,0,0,1,1,1
