var,description
id,Sensation-seeking questionnaire ID
user_id,Participant ID
date,Date of Completion
start,Timestamp of starting the questionnaire
end,Timestamp of submitting the questionnaire
sss1,Choose one... 1:I would like a job that requires a lot of traveling. 0:I would prefer a job in one location.
sss2,"Choose one... 1:I am invigorated by a brisk, cold day. 0:I cannot wait to get indoors on a cold day."
sss3,Choose one... 1:I get bored seeing the same old faces. 0:I like the comfortable familiarity of everyday friends.
sss4,"Choose one... 0:I would prefer living in an ideal society in which everyone is safe, secure, and happy. 1:I would have preferred living in the unsettled days of our history."
sss5,Choose one... 1:I sometimes like to do things that are a little frightening. 0:A sensible person avoids activities that are dangerous.
sss6,Choose one... 0:I would not like to be hypnotized. 1:I would like to have the experience of being hypnotized.
sss7,Choose one... 1:The most important goal of life is to live it to the fullest and experience as much as possible. 0:The most important goal of life is to find peace and happiness.
sss8,"Choose one... 1:I would like to try parachute jumping. 0:I would never want to try jumping out of a plane, with or without a parachute."
sss9,"Choose one... 0:I enter cold water gradually, giving myself time to get used to it. 1:I like to dive or jump right in to the ocean or a cold pool."
sss10,"Choose one... 0:When I go on vacation, I prefer the comfort of a good room and bed. 1:When I go on vacation, I prefer the change of camping out."
sss11,Choose one... 1:I prefer people who are emotionally expressive even if they are a bit unstable. 0:I prefer people who are calm and even-tempered.
sss12,Choose one... 1:A good painting should shock or jolt the senses. 0:A good painting should give one a feeling of peace and security.
sss13,Choose one... 0:People who ride motorcycles must have some kind of unconscious need to hurt themselves. 1:I would like to drive or ride a motorcycle.
sss14,"Choose one... 0:In a good sexual relationship, people never get bored with each other. 1:It is normal to get bored after a time with the same sexual partner."
